,小区名称,所在区域,所在位置,交通情况,总价,单价,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,用水类型,用电类型,燃气价格,卧室数,客厅数,卫生间数,楼层位置,总层数,得房率,是否有抵押,抵押金额,是否地铁,临近地铁站,是否电梯,产权类型
0,半岛国际,滨江区,长河,近地铁6号线(杭富线)长河站,390,43649,2024-09-21,商品房,2014-12-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,2室2厅1厨2卫,中楼层(共45层),89.35,跃层,67.6,板楼,南北,钢混结构,毛坯,四梯十二户,有,nan,nan,nan,nan,2,2,2,2,45,0.7565752658086178,0,0.0,1,长河站,1.0,0
1,南岸晶都花园,滨江区,长河,近地铁5号线聚才路站,290,28410,2024-01-03,商品房,2015-11-26,普通住宅,满五年,共有,有抵押,已上传房本照片,2室1厅1厨1卫,低楼层(共26层),102.08,平层,76.94,板塔结合,南,钢混结构,精装,两梯三户,有,nan,nan,nan,nan,2,1,1,1,26,0.7537225705329154,1,0.0,1,聚才路站,1.0,1
2,水印城,滨江区,长河,近地铁6号线(杭富线)长河站,300,48240,2024-08-01,商品房,2020-12-24,普通住宅,满两年,共有,有抵押,已上传房本照片,1室1厅1厨2卫,低楼层(共15层),62.19,nan,69.42,板楼,南,钢混结构,精装,四梯十八户,有,nan,nan,nan,nan,1,1,2,1,15,1.11625663289918,1,0.0,1,长河站,1.0,1
3,倾城之恋,滨江区,滨江区政府,近地铁6号线(杭富线)江汉路站,405,36762,2025-03-13,商品房,2020-12-07,普通住宅,满两年,共有,有抵押100万元,已上传房本照片,2室2厅1厨1卫,中楼层(共29层),110.17,平层,69.42,塔楼,南,钢混结构,简装,两梯三户,有,nan,nan,nan,nan,2,2,1,2,29,0.6301170917672688,1,100.0,1,江汉路站,1.0,1
4,欣盛东方郡东区,滨江区,滨江区政府,nan,430,48528,2024-05-23,商品房,2015-10-28,普通住宅,满五年,共有,有抵押,已上传房本照片,2室2厅1厨1卫,高楼层(共18层),88.61,平层,67.64,板楼,南,钢混结构,精装,两梯四户,有,nan,nan,nan,nan,2,2,1,3,18,0.7633449949215664,1,0.0,0,0,1.0,1
5,绿城明月江南,滨江区,滨江区政府,nan,520,58212,2025-03-01,商品房,2020-03-23,普通住宅,满五年,非共有,有抵押,已上传房本照片,2室2厅1厨1卫,中楼层(共18层),89.33,平层,69.42,板楼,南,钢混结构,其他,两梯三户,有,nan,nan,nan,nan,2,2,1,2,18,0.777118549199597,1,0.0,0,0,1.0,0
6,江南文苑,滨江区,浦沿,近地铁6号线(杭富线)西浦路站,330,37509,2022-05-14,商品房,2011-05-16,普通住宅,满五年,非共有,有抵押,已上传房本照片,2室2厅1厨1卫,低楼层(共18层),87.98,平层,70.05,板楼,南,钢混结构,精装,两梯三户,有,nan,nan,nan,nan,2,2,1,1,18,0.7962036826551488,1,0.0,1,西浦路站,1.0,0
7,钱塘福苑,滨江区,浦沿,nan,248,26972,2024-01-17,商品房,2024-03-11,普通住宅,未满两年,共有,无抵押,已上传房本照片,2室1厅1厨1卫,高楼层(共26层),91.95,平层,69.42,板楼,南,钢混结构,简装,两梯四户,有,nan,nan,nan,nan,2,1,1,3,26,0.7549755301794453,0,0.0,0,0,1.0,1
8,钱塘大观,滨江区,浦沿,nan,268,30259,2024-06-26,商品房,2017-10-30,普通住宅,满五年,共有,有抵押60万元,已上传房本照片,2室2厅1厨1卫,低楼层(共33层),88.57,平层,67.36,板楼,南,钢混结构,精装,两梯四户,有,nan,nan,nan,nan,2,2,1,1,33,0.7605283956192842,1,60.0,0,0,1.0,1
9,江南铭庭,滨江区,白马湖,nan,280,31830,2022-09-24,商品房,2013-08-13,普通住宅,满五年,共有,有抵押1万元,已上传房本照片,2室1厅1厨1卫,中楼层(共23层),87.97,平层,67.24,板楼,南,钢混结构,精装,两梯四户,有,nan,nan,nan,nan,2,1,1,2,23,0.7643514834602705,1,1.0,0,0,1.0,1
10,海威天地,滨江区,滨江区政府,近1号线(萧山国际机场-湘湖)滨和路站,185,37374,2025-02-13,商品房,2025-02-13,商住两用,未满两年,非共有,无抵押,已上传房本照片,2室1厅1厨2卫,中楼层(共29层),49.5,nan,69.42,板楼,北,钢混结构,其他,七梯二十八户,有,nan,商水,商电,nan,2,1,2,2,29,1.4024242424242424,0,0.0,0,0,1.0,0
